code,network,station,id,longitude,latitude,elevation
CO0272,SS,05265,SS.05265,7.290919,47.323367,617.200000
ST0347,SS,12425,SS.12425,7.142073,47.323138,829.300000
CO0300,SS,14803,SS.14803,7.275237,47.327365,545.100000
MO0640,SS,16003,SS.16003,7.307022,47.413621,676.900000
BO0609,SS,16069,SS.16069,7.238003,47.403033,657.500000
CH0704,SS,16094,SS.16094,7.218241,47.435623,670.200000
MO0641,SS,16715,SS.16715,7.313514,47.418346,804.000000
UN0267,SS,16841,SS.16841,7.246638,47.310417,910.500000
MO0490,SS,17052,SS.17052,7.106256,47.357500,440.100000
DE0513,SS,17119,SS.17119,7.349676,47.387269,543.500000
PL0655,SS,17372,SS.17372,7.251531,47.411107,761.500000
CH0277,SS,17484,SS.17484,7.337547,47.325534,578.400000
CH0278,SS,17654,SS.17654,7.351522,47.327024,535.900000
ST2009,SS,18886,SS.18886,7.116466,47.306576,952.400000
EP0374,SS,21055,SS.21055,7.109997,47.321380,558.100000
ST0285,SS,21057,SS.21057,7.125003,47.307758,908.600000
MO0551,SS,21060,SS.21060,7.167899,47.377019,715.100000
BO1026,SS,21061,SS.21061,7.229256,47.376948,714.500000
UN0152,SS,21066,SS.21066,7.223604,47.298969,555.800000
MO0437,SS,21067,SS.21067,7.168980,47.348774,459.600000
BO0531,SS,21071,SS.21071,7.236443,47.381929,830.400000
SO0271,SS,21072,SS.21072,7.269625,47.313254,821.000000
DE0511,SS,21074,SS.21074,7.321617,47.382944,856.000000
PL0632,SS,21078,SS.21078,7.262616,47.426176,591.600000
GL0411,SS,21080,SS.21080,7.198257,47.345697,601.700000
CO1019,SS,21082,SS.21082,7.185678,47.393007,763.800000
LA0142,SS,21084,SS.21084,7.117287,47.269649,979.600000
BO1027,SS,21085,SS.21085,7.235831,47.375796,664.000000
ST0498,SS,21086,SS.21086,7.187125,47.364903,756.600000
CO2036,SS,21088,SS.21088,7.288536,47.340624,507.600000
ST2007,SS,21089,SS.21089,7.100494,47.299388,984.200000
GL0319,SS,21090,SS.21090,7.165161,47.322375,757.600000
CO1020,SS,21093,SS.21093,7.192012,47.392345,795.600000
ST0378,SS,21099,SS.21099,7.151408,47.333877,452.700000
ST0496,SS,21104,SS.21104,7.168879,47.362419,438.400000
VI1052,SS,21105,SS.21105,7.429070,47.363976,515.100000
DE1037,SS,21109,SS.21109,7.314869,47.369696,536.200000
CO1056,SS,21110,SS.21110,7.473969,47.362895,543.600000
LE0115,SS,21115,SS.21115,7.110850,47.262193,1021.800000
MO0195,SS,21123,SS.21123,7.095752,47.283480,852.800000
DE1032,SS,21125,SS.21125,7.279955,47.371734,700.550000
GL2016,SS,21127,SS.21127,7.174513,47.321942,598.100000
EP0405,SS,21129,SS.21129,7.129682,47.338518,652.500000
MO0468,SS,21130,SS.21130,7.177071,47.357494,596.300000
GL0349,SS,21132,SS.21132,7.167520,47.330288,854.000000
CO0650,SS,21134,SS.21134,7.178713,47.411849,505.300000
BR0318,SS,21137,SS.21137,7.049544,47.395957,497.500000
PL0615,SS,21139,SS.21139,7.295653,47.411019,838.900000
UN0238,SS,21141,SS.21141,7.229374,47.306963,770.800000
ST0524,SS,21143,SS.21143,7.163292,47.367875,481.200000
PL0563,SS,21144,SS.21144,7.285487,47.398565,821.000000
MO0463,SS,21152,SS.21152,7.133011,47.352388,715.100000
CO0337,SS,21153,SS.21153,7.357837,47.343130,536.100000
CO1044,SS,21157,SS.21157,7.365981,47.366208,415.400000
PL0613,SS,21160,SS.21160,7.276959,47.405355,708.900000
DE0456,SS,21161,SS.21161,7.359951,47.372283,427.300000
SA0260,SS,21164,SS.21164,7.160196,47.306124,900.700000
SO0162,SS,21168,SS.21168,7.325120,47.300688,822.000000
UN0208,SS,21169,SS.21169,7.223597,47.299464,552.400000
SO0135,SS,21170,SS.21170,7.312551,47.299867,768.900000
CH0673,SS,21176,SS.21176,7.207380,47.419054,550.600000
SA0259,SS,21177,SS.21177,7.151775,47.305444,879.600000
ST0377,SS,21178,SS.21178,7.138464,47.327319,683.700000
CO0579,SS,21181,SS.21181,7.023477,47.416052,517.800000
CO1018,SS,21182,SS.21182,7.165931,47.394543,676.900000
FO0707,SS,21185,SS.21185,7.060675,47.389048,521.100000
AS0528,SS,21186,SS.21186,7.212800,47.376700,827.200000
BO0500,SS,21187,SS.21187,7.213461,47.369045,904.000000
UN0205,SS,21197,SS.21197,7.191150,47.301772,633.800000
UN0206,SS,21202,SS.21202,7.203330,47.300553,619.500000
GL2020,SS,21206,SS.21206,7.208450,47.329985,548.300000
PO1007,SS,21208,SS.21208,7.087417,47.418377,432.800000
AS0608,SS,21210,SS.21210,7.226104,47.398963,865.800000
PL0588,SS,21213,SS.21213,7.281224,47.402440,766.700000
MO0526,SS,21215,SS.21215,7.187822,47.376274,589.100000
CH0220,SS,21217,SS.21217,7.349798,47.316196,926.500000
CH0672,SS,21219,SS.21219,7.199159,47.417508,526.100000
DE0395,SS,21221,SS.21221,7.332087,47.356602,425.300000
LA0202,SS,21222,SS.21222,7.159937,47.288201,1025.100000
CO2034,SS,21226,SS.21226,7.282044,47.339612,505.500000
DE1034,SS,21231,SS.21231,7.293144,47.372493,613.500000
CO0668,SS,21234,SS.21234,7.129157,47.445517,496.700000
MO0552,SS,21242,SS.21242,7.178414,47.383019,809.000000
LE0091,SS,21244,SS.21244,7.124640,47.260763,1071.400000
PO1003,SS,21247,SS.21247,7.045903,47.423817,552.700000
LE0117,SS,21249,SS.21249,7.130140,47.261590,1065.100000
SA0289,SS,21252,SS.21252,7.160820,47.315014,632.400000
CO1012,SS,21256,SS.21256,7.123325,47.408342,483.300000
CO0243,SS,21258,SS.21258,7.282998,47.314771,981.300000
EP0429,SS,21262,SS.21262,7.069504,47.338110,762.100000
SO0184,SS,21263,SS.21263,7.272882,47.296492,801.800000
BO0584,SS,21264,SS.21264,7.230867,47.393090,825.400000
UN0207,SS,21265,SS.21265,7.220204,47.296546,629.400000
MO0593,SS,21268,SS.21268,7.328543,47.406263,732.300000
ST0525,SS,21274,SS.21274,7.171856,47.368677,486.000000
PL0681,SS,21280,SS.21280,7.286665,47.426694,726.900000
CO2058,SS,21281,SS.21281,7.374256,47.345884,433.500000
BO0412,SS,21284,SS.21284,7.204820,47.345933,548.800000
ST0225,SS,21285,SS.21285,7.100365,47.287181,849.200000
LA0200,SS,21287,SS.21287,7.145549,47.288813,911.100000
DE0424,SS,21288,SS.21288,7.331576,47.360017,427.400000
AS0607,SS,21291,SS.21291,7.211288,47.399003,601.500000
CO0330,SS,21293,SS.21293,7.283358,47.333467,480.500000
CH0191,SS,21294,SS.21294,7.343372,47.308622,906.700000
VE0193,SS,21296,SS.21296,7.361140,47.310494,928.000000
ST0227,SS,21297,SS.21297,7.123258,47.293044,858.700000
SA0230,SS,21304,SS.21304,7.153482,47.295147,860.400000
CO0369,SS,21305,SS.21305,7.370043,47.352458,420.000000
SO0161,SS,21310,SS.21310,7.314798,47.296345,864.000000
BA0356,SS,21313,SS.21313,7.237987,47.338828,483.600000
CO0625,SS,21317,SS.21317,7.147921,47.397968,545.000000
CO0332,SS,21318,SS.21318,7.311563,47.337760,461.800000
OC0458,SS,21319,SS.21319,7.075836,47.342895,683.600000
LA0196,SS,21322,SS.21322,7.108093,47.283065,874.100000
CH0706,SS,21323,SS.21323,7.235623,47.437083,700.500000
PL0564,SS,21324,SS.21324,7.295530,47.395919,720.200000
EP0400,SS,21325,SS.21325,7.081294,47.332605,908.000000
MO2002,SS,21326,SS.21326,7.053740,47.285049,985.300000
DE1035,SS,21328,SS.21328,7.300344,47.369610,596.900000
DE0448,SS,21333,SS.21333,7.277134,47.363369,553.300000
AS1022,SS,21334,SS.21334,7.199740,47.384197,688.800000
CO0246,SS,21338,SS.21338,7.317211,47.315860,851.500000
UN0179,SS,21341,SS.21341,7.221772,47.290114,620.400000
CO2031,SS,21345,SS.21345,7.269310,47.336969,461.200000
MO0466,SS,21346,SS.21346,7.159000,47.356933,672.600000
BO0583,SS,21351,SS.21351,7.224896,47.393856,889.700000
CO2038,SS,21354,SS.21354,7.026686,47.411257,520.800000
LE0047,SS,21405,SS.21405,7.142655,47.249455,1058.600000
CH0702,SS,21410,SS.21410,7.189703,47.430719,573.700000
BU0295,SS,21413,SS.21413,6.974402,47.441984,631.600000
EP0375,SS,21423,SS.21423,7.122389,47.332746,669.800000
CO1055,SS,21436,SS.21436,7.465462,47.363572,559.000000
CO2037,SS,21437,SS.21437,7.297896,47.341285,538.800000
PL0653,SS,21439,SS.21439,7.212507,47.412875,598.400000
SE0517,SS,21440,SS.21440,7.094275,47.364630,735.400000
LA0175,SS,21441,SS.21441,7.161116,47.285607,1041.600000
ME0540,SS,21443,SS.21443,7.336646,47.395792,573.500000
CO0575,SS,21447,SS.21447,7.145650,47.381321,721.300000
PL0679,SS,21448,SS.21448,7.270433,47.423445,733.700000
VE0250,SS,21449,SS.21449,7.365316,47.320367,727.200000
SO0213,SS,21450,SS.21450,7.281904,47.302435,628.700000
OC0542,SS,21451,SS.21451,7.072951,47.366310,761.600000
BA0385,SS,21452,SS.21452,7.228655,47.342083,489.600000
DE0392,SS,21453,SS.21453,7.298652,47.351272,587.800000
DE0512,SS,21454,SS.21454,7.339131,47.386167,700.800000
BO0443,SS,21455,SS.21455,7.221228,47.354495,530.800000
CO0642,SS,21456,SS.21456,7.095754,47.398959,491.200000
CO0622,SS,21460,SS.21460,7.117128,47.392172,540.500000
DE0476,SS,21461,SS.21461,7.265803,47.368433,616.100000
FO0595,SS,21462,SS.21462,7.085829,47.383255,598.700000
MI0687,SS,21466,SS.21466,7.175797,47.422194,487.700000
BA0268,SS,21470,SS.21470,7.249755,47.317684,847.400000
CH0693,SS,21473,SS.21473,7.229077,47.428001,611.900000
UN0264,SS,21475,SS.21475,7.206067,47.310585,894.100000
ST2010,SS,21478,SS.21478,7.126415,47.309685,960.400000
CH0675,SS,21479,SS.21479,7.228228,47.424549,578.700000
CO2061,SS,21480,SS.21480,7.393312,47.349312,439.500000
MI0688,SS,21482,SS.21482,7.183969,47.424958,493.300000
LA0170,SS,21485,SS.21485,7.120601,47.277140,1022.000000
BO1028,SS,21486,SS.21486,7.244185,47.375447,619.250000
AS1024,SS,21488,SS.21488,7.215002,47.381644,851.200000
PL0661,SS,21491,SS.21491,7.288792,47.422020,744.700000
UN0209,SS,21493,SS.21493,7.245135,47.300098,566.300000
ST0255,SS,21496,SS.21496,7.112398,47.298070,916.400000
BO0585,SS,21500,SS.21500,7.244422,47.392615,787.900000
MO0310,SS,21510,SS.21510,7.080373,47.305557,904.400000
CH0674,SS,21511,SS.21511,7.219356,47.422195,607.200000
ST2011,SS,21512,SS.21512,7.135701,47.308566,865.500000
CO0603,SS,21514,SS.21514,7.177631,47.387913,772.800000
SO0566,SS,21515,SS.21515,7.353200,47.400806,548.000000
GL2015,SS,21516,SS.21516,7.166970,47.318361,599.500000
LE0070,SS,21517,SS.21517,7.088108,47.262794,1013.400000
ST0316,SS,21518,SS.21518,7.135800,47.314982,971.700000
DE0475,SS,21519,SS.21519,7.257744,47.367569,629.000000
MO2001,SS,21523,SS.21523,7.045778,47.280938,1023.300000
CO2042,SS,21527,SS.21527,7.310526,47.341071,439.200000
RO2052,SS,21531,SS.21531,7.350582,47.345827,489.600000
GL2018,SS,21533,SS.21533,7.193749,47.326450,598.700000
OC0428,SS,21534,SS.21534,7.072551,47.342284,630.100000
MO0435,SS,21539,SS.21539,7.138198,47.348008,767.300000
CO0649,SS,21540,SS.21540,7.183730,47.407429,543.600000
LA0174,SS,21544,SS.21544,7.169538,47.283494,1014.100000
CO2046,SS,21548,SS.21548,7.326668,47.342222,446.900000
ST0226,SS,21554,SS.21554,7.109973,47.292707,919.800000
CO0338,SS,21555,SS.21555,7.364228,47.340039,448.600000
VE0251,SS,21561,SS.21561,7.372460,47.322619,587.400000
SA0263,SS,21565,SS.21565,7.185403,47.311046,949.500000
MO0436,SS,21568,SS.21568,7.147818,47.346281,654.000000
ST0312,SS,21570,SS.21570,7.100459,47.310294,792.700000
PL0614,SS,21577,SS.21577,7.282799,47.407635,812.200000
ST0344,SS,21579,SS.21579,7.114835,47.320063,609.600000
LA0198,SS,21583,SS.21583,7.129683,47.289249,930.100000
BA0388,SS,21586,SS.21586,7.258945,47.345337,469.800000
PL0635,SS,21587,SS.21587,7.257404,47.412075,776.200000
CO1011,SS,21589,SS.21589,7.116477,47.409518,492.000000
OC0457,SS,21592,SS.21592,7.066453,47.343852,422.100000
SO0157,SS,21593,SS.21593,7.278083,47.291589,948.000000
BO0611,SS,21596,SS.21596,7.256668,47.401990,718.500000
CO0334,SS,21598,SS.21598,7.325783,47.340655,450.200000
CO0276,SS,21605,SS.21605,7.333904,47.326790,567.900000
MI0699,SS,21614,SS.21614,7.167070,47.429636,476.000000
ST0287,SS,21617,SS.21617,7.141983,47.308690,901.200000
CO0624,SS,21619,SS.21619,7.135246,47.395300,524.400000
DE0538,SS,21621,SS.21621,7.309105,47.388273,798.400000
PO1005,SS,21624,SS.21624,7.068502,47.423641,525.600000
CO0329,SS,21628,SS.21628,7.275961,47.332512,488.000000
RO0336,SS,21632,SS.21632,7.346675,47.341805,493.400000
MO0407,SS,21635,SS.21635,7.156359,47.338648,457.700000
CH0690,SS,21639,SS.21639,7.204527,47.426373,519.400000
EP0371,SS,21654,SS.21654,7.085043,47.325526,793.700000
ST0345,SS,21666,SS.21666,7.122887,47.325232,505.100000
CO2048,SS,21678,SS.21678,7.329496,47.344064,439.600000
GL2013,SS,21693,SS.21693,7.150940,47.315796,853.800000
BA2025,SS,21701,SS.21701,7.239039,47.333889,488.800000
BA0416,SS,21707,SS.21707,7.251193,47.352653,485.500000
BA0324,SS,21712,SS.21712,7.217655,47.324650,553.900000
CO1048,SS,21714,SS.21714,7.391556,47.363816,434.100000
BO0558,SS,21720,SS.21720,7.242608,47.385768,917.800000
CO0598,SS,21721,SS.21721,7.117946,47.387090,611.600000
BO0501,SS,21722,SS.21722,7.221708,47.370163,750.800000
MO0464,SS,21726,SS.21726,7.141781,47.351508,685.200000
ST0346,SS,21727,SS.21727,7.140121,47.323242,821.300000
VE0554,SS,21733,SS.21733,7.153801,47.447625,515.300000
VE0192,SS,21735,SS.21735,7.351631,47.309133,1063.600000
UN0154,SS,21736,SS.21736,7.246252,47.295143,823.500000
BA0266,SS,21737,SS.21737,7.218588,47.316429,527.400000
CH0249,SS,21746,SS.21746,7.353478,47.323729,602.700000
MO0438,SS,21748,SS.21748,7.172847,47.351199,473.900000
ST0553,SS,21752,SS.21752,7.180951,47.376631,662.500000
CO0647,SS,21753,SS.21753,7.131451,47.414744,472.000000
BA2026,SS,21756,SS.21756,7.246364,47.333225,506.100000
ST0253,SS,21757,SS.21757,7.089723,47.296549,938.700000
OC0487,SS,21761,SS.21761,7.075345,47.352056,423.300000
MO0491,SS,21762,SS.21762,7.113706,47.357841,447.200000
BO0634,SS,21763,SS.21763,7.240493,47.408075,627.000000
MO0617,SS,21770,SS.21770,7.318001,47.412257,730.600000
SA0232,SS,21771,SS.21771,7.177524,47.304995,825.200000
BU0133,SS,21772,SS.21772,6.988058,47.440027,568.200000
CO0504,SS,21778,SS.21778,7.010850,47.424262,609.400000
ST0492,SS,21779,SS.21779,7.123164,47.357471,574.000000
CO0578,SS,21785,SS.21785,7.168947,47.381345,842.400000
DE0480,SS,21816,SS.21816,7.307236,47.374451,622.800000
LA0171,SS,21818,SS.21818,7.145339,47.284049,987.600000
SA0262,SS,22021,SS.22021,7.186311,47.307093,981.300000
LE0118,SS,22226,SS.22226,7.142169,47.265387,1061.800000
CO0303,SS,22227,SS.22227,7.306657,47.327060,562.400000
BO1025,SS,22228,SS.22228,7.217263,47.380057,792.800000
AS0605,SS,22229,SS.22229,7.198151,47.395282,695.600000
CO0244,SS,22232,SS.22232,7.309685,47.311275,943.800000
UN0235,SS,22233,SS.22233,7.210161,47.300747,576.800000
AS1021,SS,22234,SS.22234,7.195716,47.387996,857.400000
CO0580,SS,22235,SS.22235,7.031606,47.406259,501.700000
BO0633,SS,22236,SS.22236,7.239491,47.407388,644.500000
GL2017,SS,22237,SS.22237,7.177995,47.323592,591.200000
OC0516,SS,22250,SS.22250,7.083633,47.360929,673.300000
MO0252,SS,22251,SS.22251,7.079850,47.294386,928.000000
DE1038,SS,22252,SS.22252,7.320169,47.367244,463.900000
MO0591,SS,22253,SS.22253,7.308132,47.403450,683.200000
PO1008,SS,22254,SS.22254,7.097957,47.416196,467.100000
PL0656,SS,22255,SS.22255,7.243630,47.417643,606.900000
PL0659,SS,22257,SS.22257,7.277493,47.419461,745.400000
AS0556,SS,22258,SS.22258,7.218712,47.384925,854.900000
ST0317,SS,22259,SS.22259,7.148150,47.317720,947.100000
GL2014,SS,22261,SS.22261,7.157351,47.316507,766.600000
DE1029,SS,22262,SS.22262,7.254831,47.376478,711.100000
CO2056,SS,22264,SS.22264,7.373131,47.342121,432.000000
SO0134,SS,22266,SS.22266,7.291422,47.290936,927.300000
CO0364,SS,22269,SS.22269,7.324025,47.349233,430.300000
GL0320,SS,22271,SS.22271,7.174579,47.317562,746.600000
RO2049,SS,22273,SS.22273,7.334231,47.343671,446.100000
PL0660,SS,22274,SS.22274,7.283574,47.423556,629.000000
EP0372,SS,22275,SS.22275,7.087247,47.324228,753.400000
CO0335,SS,22279,SS.22279,7.334978,47.339683,479.200000
EP0403,SS,22280,SS.22280,7.109401,47.333599,740.700000
SO0241,SS,22282,SS.22282,7.274332,47.305990,670.200000
SO0186,SS,22283,SS.22283,7.292599,47.295872,807.800000
CO1010,SS,22284,SS.22284,7.109541,47.411845,500.300000
